ORF	WT1A	WT1B	WT2A	WT2B	HS1A	HS1B
NCU02223	51.8	43.8	39.6	41.3	49.7	42.1
NCU02224	161.2	182.8	170.1	178.8	138.1	161.1
NCU02225	9.9	11.1	11.6	8.9	14	8.1
NCU02226	32.4	33.5	45.2	29.3	29.3	22.5
NCU02227	75.4	75.2	64.4	71.8	60.2	63.4
NCU02228	19.2	17.5	24.9	28.4	24.9	23.5
NCU02229	38.5	32.4	39	47.4	20.8	41.4
NCU02230	9.5	10.2	12.4	10.6	12.7	12.4
NCU02231	13.3	13.6	13.9	12.2	14	15.6
NCU02232	13.7	16.2	17.9	14.5	17.4	14
NCU02233	12.8	14.1	9.6	10.6	9.1	9.3
NCU02234	10.4	9.4	12	10.4	13.4	13.1
NCU02235	23.2	23.3	15.1	14.1	14.2	7.2
NCU02236	29.8	30.8	29.8	24.8	34.4	42.3
NCU02238	0.4	0.4	0.3	0.2	0	0
NCU02239	0.5	0.1	0.1	0.7	0.2	0
NCU02240	0	1.1	0	0	0.9	1.2
NCU02241	3.9	3.2	3.8	2.3	4	3
NCU02242	1.4	1.4	3	1.8	1.8	0.8
NCU02243	0.2	0.6	0	0.2	0.3	0.2
NCU02244	57.1	56.1	50.4	65.3	83.4	135.5
NCU02245	4.8	5.6	6.1	6.9	6.6	7.1
NCU02246	6.6	7.2	46.5	41.1	46.7	40.1
NCU02247	4.5	4.8	4.4	3.2	4.8	3.9
NCU02248	3	3.8	3.8	3.2	4.4	3.2
NCU02249	6.9	5.9	7.6	6.9	12.8	6.1
NCU02250	4414.8	4388.7	5120.8	4285.8	3156.7	4144.8
NCU02251	0.6	0	0	0	0.6	0
NCU02252	1748.3	1728	1440	1775.7	683.2	1441.3
NCU02253	9.2	10.4	19.9	35.8	19.5	19
NCU02254	7.6	6.7	8	9.1	9.9	5
NCU02255	6.9	5.6	10.3	9.4	9.2	9.4
NCU02256	21.4	20.1	16	15.4	17.3	19.1
NCU02257	9.6	6.9	7	8.7	8	8.5
NCU02258	1.4	1.3	3.2	3.3	3.3	1
NCU02259	10.8	10.1	25.1	27.2	23.9	21.7
NCU02260	161.7	147.2	153.5	145.5	160.9	131.1
NCU02261	102.5	107.7	102.9	128.1	195.9	197.8
NCU02262	11.2	10.4	9.3	7.7	12.9	5.8
NCU02263	257.2	250.2	317.1	324.2	333	313.7
NCU02264	37.2	29.1	43.4	41	40.1	44.1
NCU02265	2.8	2.7	26.7	27	40.6	25.6
NCU02267	32.6	36	29.5	30.1	26	25.4
NCU02268	14.6	13.6	15.8	15.8	15.3	13.2
NCU02269	57	52.3	66.3	73.6	91.5	79.3
NCU02270	8.6	9.1	13	10.4	10.3	13
NCU02271	5.5	5.9	4.1	4.1	3.4	5.6
NCU02272	14.2	15.5	18.8	17.2	19.2	23.9
NCU02273	790.3	810.7	726.6	742.7	728.1	710.2
NCU02274	1525.5	1481.9	1513.2	1350.5	2641.6	2143.1
NCU02275	8	6	0.4	0	0	0
NCU02276	8.1	9	10	9	14.6	10.6
NCU02277	30	27	22.5	16.5	9.5	18.2
NCU02278	22.5	21.7	15.4	14.2	12.7	8.8
NCU02280	279.2	263.1	298.2	279.7	382.4	231.9
NCU02281	25.2	21.4	20	17.1	29.6	17.8
NCU02282	57.7	60.4	75.5	104.8	62.3	147
NCU02283	45	44.4	50.5	43.4	47.1	42.1
NCU02284	31.4	28	26	18.9	31.3	39.6
NCU02285	4.5	5.6	0.4	1.2	3.5	0
NCU02286	10.6	9	11.4	11.1	15.5	13.1
NCU02287	35.1	34.5	37.3	33.6	41.3	17.3
NCU02289	911.7	902.7	1244.3	1176.4	1523.3	1022.6
NCU02291	35.3	33.6	26.2	26.4	20.2	25.9
NCU02292	0	0.1	0	0.5	0	0
NCU02293	32.5	32.1	49.4	40.2	30.3	46.2
NCU02294	9.6	10.8	8.7	8.6	11.4	10.9
NCU02295	67.1	67.4	80.8	92	98.2	96.1
NCU02296	22.7	22.7	26.2	23.1	38.4	41.3
NCU02297	0.9	1.3	0	0	0	0
NCU02298	0	0.5	0	0	0	0
NCU02299	36.9	37.6	33.3	29.6	31.4	30.5
NCU02300	0	0	0	0	0	0
NCU02301	0.5	0.5	0.4	0.4	0.5	0
NCU02302	0	0.6	0	0.4	0	0.2
NCU02303	5.4	2.4	4.3	3.1	2.8	3.1
NCU02304	22.8	21.7	17.1	17.9	41.4	20.4
NCU02305	42	42.2	31.8	35.7	28.3	38
NCU02306	0.9	0.3	0	0	0	0
NCU02307	6.4	6.2	10.1	10.9	17.4	8.7
NCU02308	0	0	0.6	0	0	0
NCU02309	0	0	0	0	0	0
NCU02310	13.9	13.2	17.5	19.1	14.1	15.8
NCU02311	0.3	0.3	0	0	0.3	0
NCU02314	0.2	0.2	0.2	0.1	0	0
NCU02315	9	8.5	10.2	9.9	15.3	11.1
NCU02316	18	17.8	26.4	21.7	29.8	21.6
NCU02317	7.8	7.9	3.5	4	2.3	0.8
NCU02318	15	17.6	15.9	13.9	10.4	3.1
NCU02319	110.9	108.4	99.8	92.1	77.3	61.4
NCU02320	0.1	0.2	0.1	0.1	0.2	0.1
NCU02321	1	1.8	2	2.1	4	3.1
NCU02322	12.5	11.8	5	6.6	3.2	5.2
NCU02323	0	0.1	0	0	0	0
NCU02324	0.2	0.2	0.1	0.2	0.3	0.1
NCU02325	411.5	431.1	293.1	302.4	971.7	580.7
NCU02326	0.7	0.4	0.2	0	0.9	0.2
NCU02327	7.4	6.7	0.8	0.4	2.3	0
NCU02328	38.5	43.7	22.4	12.9	47	5.1
NCU02329	2.4	1.3	30.2	33.5	33.1	31.9
NCU02331	0	0.4	0.5	0	0.6	0
NCU02333	147.8	146.9	180.3	124.7	134.5	249.5
NCU02334	37.8	35.8	30.9	19.7	25.3	15
NCU02335	9.6	11.4	8.1	8	9	9.8
NCU02336	31.4	30	27.3	30.3	20.5	31.7
NCU02337	5.6	5.2	6.9	4	4.3	5.5
NCU02338	1.2	0.8	1.1	0	0.3	0.3
NCU02339	0.5	0.3	0.5	0.2	0	0
NCU02340	0	0.2	0	0	0	0
NCU02341	0.5	0	0.5	0	0	0.3
NCU02342	12.5	17.1	20.3	13.6	28.4	15.9
NCU02343	3.6	2	0	0.1	0.7	0.5
NCU02344	12.7	7.3	6.9	6.6	3.1	6.4
NCU02345	6.5	6.2	5.3	5.6	6.3	2.9
NCU02346	0.6	0.1	0.3	0.1	0.1	0.3
NCU02347	11.1	8.8	15.9	12.7	15.9	15.7
NCU02348	5.3	6.1	5.6	5	5.4	6.9
NCU02349	32.3	31	27	26	16.2	23.5
NCU02350	0	0	0	0.7	0	0
NCU02351	37.1	38.7	51.5	48.6	54.6	47.4
NCU02352	3.1	2.2	1.8	3	2.1	2.1
NCU02353	29.4	28.3	30.6	32.5	35.9	22
NCU02354	18	18.5	19.9	18.1	29.5	19.3
NCU02355	16.1	14.7	12	9.2	21.6	9.5
NCU02356	26.4	24.8	31.3	34.6	48	34.5
NCU02357	157.5	154.4	138	124.2	131.7	115.4
NCU02358	41.7	42.9	30	28.5	31.4	23.4
NCU02359	11.7	10.6	18	21.8	15.2	17.5
NCU02360	68.1	67.9	35.7	43.4	25.6	22.9
NCU02361	3.3	4.3	13.7	14.6	14.9	3.2
NCU02362	8.7	8.5	9.8	9.2	8.3	5.8
NCU02363	2.4	2.3	0	0.2	0	0.6
NCU02364	123.1	115.7	232.9	186.5	207.9	142.6
NCU02365	0	1	0	0	0.7	0
NCU02366	537	535.5	654.1	615.2	631.1	598.5
NCU02367	18.8	18.6	14.1	14.1	23.2	15.8
NCU02368	25.9	28.5	29.2	26.4	17.5	24
NCU02369	42.4	43	9.9	12.5	8	11.9
NCU02370	18.1	18	15.4	18.4	18.7	23.7
NCU02371	48.2	53.6	44.2	41.4	35.9	38.6
NCU02372	42	41.7	63.2	60.7	89.2	74.8
NCU02373	374.7	388.4	284.4	256.1	343.9	236.8
NCU02374	132.8	136.4	146.5	136.5	140.3	144.5
NCU02375	21.1	21.8	20	23.6	24.3	19.6
NCU02376	14.5	16.3	13.4	13.2	12.9	11.1
NCU02377	1	0.2	0	0	0	0
NCU02378	35	33.7	32.8	50.4	35.2	121.3
NCU02379	17.4	17.1	16.7	18.1	32	20
NCU02380	188	178.8	153.4	145.9	288	175
NCU02381	71.3	76.7	56.8	61	53.7	41.8
NCU02382	9.7	7.9	7.5	3.6	6.8	3.1
NCU02383	0.2	0.2	0.2	0.3	0.2	0
NCU02385	28	24.4	10	16.5	13.8	7.2
NCU02386	9.4	7.3	13.3	14.4	39.7	22.8
NCU02387	42.1	38.9	43.4	33.5	49.6	38.5
NCU02388	11.5	10.6	13.9	10.1	12.9	10.8
NCU02389	4.4	3.7	4.5	4.5	5.3	3.6
NCU02390	183.2	182	162.7	287.5	297.8	441.5
NCU02391	119.1	113.2	142.5	132.9	137.9	147.4
NCU02393	344.2	319.8	390.7	372	435.9	321.4
NCU02394	19	21.8	21.8	20.4	28.7	33
NCU02395	47.8	38.9	18.7	17.3	44.9	19.6
NCU02396	17.4	14.1	8.7	13	16.1	13.6
NCU02397	84.4	86.5	11.3	11.6	15.8	10.2
NCU02398	0.3	0.6	0.1	0.1	0.7	0.2
NCU02399	49.1	43.8	32.2	30.3	28.3	21.1
NCU02400	44.1	42.1	56	56.8	92.7	61.7
NCU02401	6.3	5.2	3.9	6.1	6.4	4
NCU02402	24.9	21.9	20.1	19.8	26	21.4
NCU02403	44.2	39.7	48	49.5	84.8	48.4
NCU02404.t04	345.6	317.5	332.4	318.8	407.8	250.3
NCU02405	95.8	87.7	102.8	87	142.7	73.6
NCU02406	7.5	8	8.2	7.7	11.2	9.6
NCU02407	442.2	439.3	464.5	442.1	326.8	481.5
NCU02408	119.2	119.2	129.3	136.5	116.1	135.4
NCU02409	16.9	15	10	12.2	18.4	12
NCU02410	4.8	6.3	7.2	8.9	8	4.2
NCU02411	7.3	7.9	8.6	8.6	10.6	7.8
NCU02412	25.8	25.4	16.6	17.7	27.3	25
NCU02413	25.8	24	17.8	30.9	20.6	22.1
NCU02414	69.2	71.7	73	74.9	165.9	103.5
NCU02415	10.6	11.9	10.2	12.1	14.4	9.3
NCU02416	37.5	38.8	25.6	31.8	21.2	32.8
NCU02417	44	38.6	27.5	27	44.7	36.5
NCU02418	12.1	14.4	16	12.7	19.3	17.9
NCU02419	68.4	68.8	93.8	67.6	67.3	77.2
NCU02420	8.2	7.9	7.6	10.1	9.4	5.2
NCU02421	40.8	41.6	40.1	41.6	40.8	37.6
NCU02422	25.6	22.8	15.1	21.9	16.6	17.5
NCU02423	81	76.5	93.2	81.9	88.8	99
NCU02424	90.6	93.9	94	120.4	72.2	129.4
NCU02425	18.3	20.2	16.3	18.1	24	16.3
NCU02428	63.5	60.4	89.4	81.9	95.4	151.1
NCU02429	18.5	21.2	37.4	35.7	44.9	33.4
NCU02430	122.1	130.8	84.1	86.3	148.2	103.9
NCU02431	25.7	22.9	20.3	20.7	28.7	19
NCU02432	23.8	21.1	20.2	20.4	31	26.7
NCU02433	40.2	38.8	45.8	53	51.6	52.5
NCU02434	25.4	22.3	20.2	16.3	29.9	21.3
NCU02435	3670.7	3794.4	4248.3	4533.1	4622.9	4729.2
NCU02436	0.9	0	0	0	0	0
NCU02437	3660.6	3882.2	3690.8	4035	4071	4126.6
NCU02438	448.7	435.9	311.8	286.1	501.3	479.9
NCU02450	119.4	125.1	108.8	94.5	116	129
