ORF	WT	Opt
NCU02383	0	0
NCU02385	28.4	38.6
NCU02386	8.8	20
NCU02387	60	39.9
NCU02388	15.3	23.9
NCU02389	3.6	5.3
NCU02390	123.1	190
NCU02391	200.1	162
NCU02393	312.2	235.9
NCU02394	23.5	39.4
NCU02395	41.9	31.3
NCU02396	11.8	18.8
NCU02397	239	43.5
NCU02398	0.5	0.2
NCU02399	69.8	67.4
NCU02400	44.7	27.1
NCU02401	9.8	10.5
NCU02402	31.6	25.8
NCU02403	36	64.2
NCU02404.t04	580.5	330.2
NCU02405	87.1	147.7
NCU02406	19.8	13.5
NCU02407	801.3	615.5
NCU02408	95.9	104.6
NCU02409	17.5	13.1
NCU02410	10.6	13.6
NCU02411	12.3	10.1
NCU02412	17.7	12.2
NCU02413	31.1	33.1
NCU02414	93.7	80.4
NCU02415	14.3	18
NCU02416	38.7	43
NCU02417	29.6	17.5
NCU02418	8.1	6.9
NCU02419	70.3	106.6
NCU02420	9.9	6.4
NCU02421	50.8	55.3
NCU02422	31.4	24.9
NCU02423	86.1	58.9
NCU02424	111.6	106.8
NCU02425	27.5	18.3
NCU02428	63.4	65.7
NCU02429	23.2	36.7
NCU02430	145	82.3
NCU02431	20.5	12.3
NCU02432	19.3	25
NCU02433	54.4	38.8
NCU02434	32.9	36.5
NCU02435	3674.5	2792.8
NCU02436	0	0.6
NCU02437	2867	2283.3
NCU02438	679.4	508.9
NCU02450	139	90.2
NCU02451	53.7	54.5
NCU02452	7.7	6.5
NCU02453	325.9	258.3
NCU02455	294.5	303.2
NCU02456	13.3	8.6
NCU02457	3.7	3.8
NCU02458	12.5	22.7
NCU02459	146.5	107.2
NCU02460	75	103.6
NCU02461	16.2	21.5
NCU02463	68.8	58.2
NCU02464	328.3	421.8
NCU02465	0	0
NCU02466	37.6	82.7
NCU02467	23.4	22.5
NCU02468	111.2	96.6
NCU02470	7.7	13.3
NCU02472	156.2	145.5
NCU02473	51.2	61.8
NCU02474	89	47.8
NCU02475	269.2	217.2
NCU02476	0.4	0.9
NCU02477	38.1	42.3
NCU02478	51	32.9
NCU02479	203.4	254.2
NCU02480	553.3	703
NCU02481	44.6	40.2
NCU02482	88.5	59.2
NCU02483	0	0
NCU02485	0.1	0.3
NCU02486	0.1	0
NCU02487	0	0
NCU02488	0.2	0
NCU02490	89.1	113.6
NCU02491	33.9	42.9
NCU02492	27.6	37.3
NCU02493	323.8	559.2
NCU02494	17.6	13.5
NCU02495	16.9	16
NCU02496	15.6	11.9
NCU02497	13.2	13.6
NCU02498	25.7	16.2
NCU02499	14.9	24.5
NCU02500	0	81.9
NCU02501	0	0.4
NCU02502	10	10
NCU02503	0	0.2
NCU02504	22.9	27.5
NCU02505	521.6	382.2
NCU02507	51.8	57
NCU02508	101.8	87.9
NCU02509	1393.8	874.8
NCU02510	312.2	226.5
NCU02511	46.4	54.3
NCU02512	6.4	2
NCU02513	221.4	175.4
NCU02514	2910.6	1622.6
NCU02515	38.7	27.2
NCU02516	0	0
NCU02517	0	0
NCU02519	12.4	26.6
NCU02520	201.4	176.8
NCU02521	0.8	1
NCU02522	9.8	3.3
NCU02523	8	6
NCU02524	13.1	12.5
NCU02525	5.8	4.5
NCU02526	285.5	195.7
NCU02527	0	0
NCU02528	22.6	29.8
NCU02529	1.6	1.7
NCU02530	110.9	37.6
NCU02531	9	8.4
NCU02532	63	64.7
NCU02533	52.5	54.9
NCU02534	338.8	209.3
NCU02535	0	0
NCU02536	31.8	24.8
NCU02538	230.2	152.7
NCU02539	42	27.7
NCU02540	34.9	14.2
NCU02541	137.5	109.6
NCU02542	588.8	693.5
NCU02543	3.8	4
NCU02544	65.4	46.4
NCU02545	81.1	92
NCU02546	48.3	60.7
NCU02547	40	19.4
NCU02548	113.6	138.6
NCU02549	1106.4	804.9
NCU02550	21	17.4
NCU02552	24.8	24.7
NCU02553	20.3	21.7
NCU02554	14.4	11.9
NCU02555	119.6	100.7
NCU02556	22.2	17.6
NCU02558	18.1	18.2
NCU02559	15.5	22.3
NCU02560	50.1	41
NCU02561	65.5	45.6
NCU02562	0	0
NCU02563	89.1	103.4
NCU02564	27.2	19.8
NCU02565	25.8	17.9
NCU02566	233.8	175.5
NCU02567	4.1	3.9
NCU02568	0.6	0.7
NCU02570	34.8	21.1
NCU02571	637.1	697.9
NCU02572	54.9	39.2
NCU02573	86.9	69
NCU02574	0	0
NCU02575	0	0.3
NCU02576	29.8	27.8
NCU02577	18.9	31.1
NCU02578	52.2	42.5
NCU02579	28.4	6.1
NCU02580	223.5	199.7
NCU02582	10.9	6.8
NCU02583	15.2	7.6
NCU02584	0.2	0
NCU02585	45	28
NCU02586	34	29.8
NCU02587	16.3	25.1
NCU02588	170.2	259.9
NCU02589	16.5	14.5
NCU02590	12.4	20.4
NCU02591	36.2	34.2
NCU02592	16.8	27.5
NCU02593	0.3	0.2
NCU02594	0	0.1
NCU02595	369.4	385.1
NCU02596	110.2	18.8
NCU02597	32.1	42.4
NCU02598	12.7	21.8
NCU02599	456.8	235.5
NCU02600	0.1	0.2
NCU02601	5.9	4.4
NCU02602	150	125.4
NCU02603	39.8	104.4
NCU02604	30.8	20.8
NCU02605	101.7	124.7
NCU02606	51.8	43
NCU02607	21.8	0
NCU02608	8.2	5.2
NCU02609	27.5	18.5
NCU02610	247	283.5
NCU02611	17.7	12.8
NCU02612	0.1	0.1
NCU02613	2.1	21.8
NCU02614	47	45
NCU02615	42.6	60.5
NCU02616	29.4	20
NCU02617	27.2	20.4
NCU02618	68.4	69.8
NCU02619	28.7	27.9
NCU02620	34.7	27.8
NCU02621	53.7	49.5
NCU02622	0	0
NCU02623	226.1	687.1
NCU02624	269.1	302.3
NCU02625	3.2	6.3
NCU02626	23.7	37.5
NCU02627	30.4	93.4
NCU02628	0.1	0.3
NCU02629	762.7	666.8
NCU02630	27.6	28.4
NCU02631	12.9	17.2
NCU02632	58.8	28.1
NCU02633	18.6	25.2
NCU02634	144.7	190.2
NCU02635	75.7	48.7
NCU02636	23.6	67.1
NCU02637	37.8	32.4
NCU02638	0	0
NCU02639	1099.5	783.9
NCU02640	39.9	91.2
NCU02641	5.2	7
NCU02643	0	0
NCU02644	111.2	111.7
NCU02648	7.1	5.9
NCU02650	246.7	190.2
NCU02651	17	42.6
NCU02652	10.5	0.1
NCU02653	0.7	0.7
NCU02654	4.1	1.9
NCU02655	0	0
NCU02656	6.3	7.8
NCU02657	971.6	793.2
NCU02658	28.8	29.5
NCU02659	69	85.6
NCU02660	34.6	65.9
NCU02661	48.6	45.3
NCU02663	0.2	0
NCU02664	13.7	9.8
NCU02665	69.8	43.5
NCU02666	27.9	24.2
NCU02668	602.6	574.3
NCU02669	106.3	79.8
NCU02670	8.3	7.4
NCU02671	57.8	62.7
NCU02672	0.3	0.4
NCU02673	0	0
NCU02674	9.5	6.8
NCU02675	21.5	26.6
NCU02676	11.7	8.3
NCU02677	252	202.3
NCU02678	6.9	12.6
NCU02679	2.6	3
NCU02680	66.8	68.5
NCU02681	55.7	78.9
NCU02682	0.4	0.2
NCU02683	11	8.4
NCU02684	217.1	270
NCU02685	62	43.4
NCU02686	1.3	1.4
NCU02687	31.7	35.7
NCU02688	40.6	29
NCU02689	32.5	42.6
NCU02690	45.8	7.7
NCU02691	0.7	1.1
NCU02692	6.1	7.8
NCU02693	160.6	171.2
NCU02694	1.5	1.8
NCU02695	153.9	164.1
NCU02696	29	23.1
NCU02697	8.3	27.4
NCU02698	0	0
NCU02699	12.1	11.9
NCU02700	7.7	14.9
NCU02701	177.3	245.5
NCU02702	12.1	5.9
NCU02703	5.6	12.4
NCU02704	4.4	11.8
NCU02705	26.8	38.9
NCU02706	32.5	35.6
NCU02707	912	1864.9
NCU02710	0	0.1
NCU02711	5.9	1.3
NCU02712	103.4	36.7
NCU02713	91.5	22.4
NCU02716	26.4	31
NCU02717	38.7	63.7
NCU02718	136.7	118
NCU02719	5.6	14.3
NCU02720	100.3	62.1
NCU02721	0	0
NCU02722	0	0.3
NCU02723	78.6	54.7
NCU02724	42	69.7
NCU02725	5	4.7
NCU02726	68.3	72.2
NCU02727	99.8	128.3
NCU02728	15.3	12.5
NCU02729	44.1	38.4
NCU02730	17	34.3
NCU02731	16.2	14.9
NCU02732	39.3	40.3
NCU02733	31.9	57.9
NCU02734	31.1	40.6
NCU02735	0.1	0.2
NCU02736	974.7	1119.2
NCU02737	11.2	14.3
NCU02738	114.4	87.9
NCU02739	10.1	10.7
NCU02740	0.3	0
NCU02741	18.2	13.7
NCU02742	68.8	51.6
NCU02743	94.7	65.6
NCU02744	1438	999.3
NCU02745	97.3	117.6
NCU02746	227.7	145.4
NCU02747	19.9	19.2
NCU02748	28.9	42.5
NCU02749	14.5	9.7
NCU02750	25.6	24.2
NCU02751	29.5	21.9
NCU02752	9.6	10.8
NCU02753	32.2	22.6
NCU02754	89.3	90.5
NCU02755	60.5	53.4
NCU02757	112.9	78.9
NCU02758	110.5	74.5
NCU02759	4.9	3.6
NCU02761	1.1	1.9
NCU02762	16.1	11.1
NCU02764	1.9	1.3
NCU02765	488.7	163.7
NCU02767	12.9	31.5
NCU02769	0.4	0
NCU02770	13.8	8.5
NCU02771	277	213.3
NCU02772	9.1	29.9
NCU02773	22.2	64.2
NCU02774	0	0
NCU02775	45	38.4
NCU02776	15.2	16.2
NCU02777	4.7	3.3
NCU02778	39.3	50.6
NCU02779	1.8	3.2
NCU02780	37.3	55.9
NCU02781	207.3	199.9
NCU02782	0	0.3
NCU02783	5.7	5.2
NCU02784	96.2	59.5
NCU02785	187.9	139.6
NCU02786	292.7	333.2
NCU02787	8.7	2.4
NCU02788	47.8	41.1
NCU02789	8.3	6.6
NCU02790	2.7	13.2
NCU02791	2.9	2.8
NCU02793	12.4	9.9
NCU02794	45.3	59.5
NCU02795	19.8	13
NCU02796	9	8.4
NCU02797	1581.8	893.2
NCU02798	152	628.2
NCU02799	0.2	0
NCU02800	61.4	78.1
NCU02801	162.2	226.2
NCU02802	19.8	16.6
NCU02803	34.9	33.1
NCU02804	45.2	70.9
NCU02805	1.1	10.1
NCU02806	2120.7	2047.6
NCU02807	1098	1130.6
NCU02808	107.8	92.3
NCU02809	47	52.8
NCU02810	341.8	218.3
NCU02811	146.7	214.2
NCU02812	147.5	257.6
NCU02813	373.3	303.3
NCU02814	60.8	52.2
NCU02815	106.4	104.1
NCU02817	0	0.3
NCU02818	0	0
NCU02819	23.9	18.3
NCU02826	13.5	12.6
NCU02828	29.6	30
NCU02829	238.4	344.8
NCU02830	32.6	28.5
NCU02833	26.8	32
NCU02834	28.3	41.6
NCU02837	214.9	146.6
NCU02838	7.8	8.7
NCU02839	303.6	272
NCU02840	232.6	264.5
NCU02842	12.9	15.6
NCU02843	0	0
NCU02846	7.3	5.2
NCU02847	0	2.9
NCU02849	0.7	3.1
NCU02850	0.2	0.3
NCU02852	0.2	0
NCU02853	6.2	4.1
NCU02854	0	0
NCU02855	0.6	1.1
NCU02856	0	0
NCU02857	0.1	0.1
NCU02858	0.1	0
NCU02860	0	0
NCU02861	0	0
NCU02862	0	0
NCU02864	0.2	0
NCU02865	0	0
NCU02866	0	0
NCU02867	0	0
NCU02868	0	0.1
NCU02869	0.3	0.2
NCU02870	0.2	0.2
NCU02872	0.1	0.2
NCU02873	21.6	0
NCU02875	14.6	8.8
NCU02876	0	0
NCU02877	4.4	11
NCU02878	0	0
NCU02879	1	1.9
NCU02880	0	2.1
NCU02882	12.9	8.7
NCU02883	4.5	5.1
NCU02884	1.3	2.9
NCU02885	46.4	26.1
NCU02886	90.2	67.4
NCU02887	246.9	126.5
NCU02888	103.8	228.1
NCU02889	0	0
NCU02890	7	14.8
NCU02894	51.1	16.5
NCU02895	64.2	154
NCU02896	27.5	19.2
NCU02897	0	0.2
NCU02898	5.9	5.3
NCU02899	107.5	140.1
NCU02900	0	0
NCU02901	36.8	78.8
NCU02902	0	0
NCU02903	16	8
NCU02904	194.6	106.7
NCU02905	1056.3	856.8
NCU02906	16.2	4.6
NCU02908	0	0
NCU02909	3.5	2.9
NCU02910	0.6	2.3
NCU02913	2.7	0.8
NCU02914	0	0.1
NCU02915	3.3	7.3
NCU02916	1.1	0.7
NCU02917	0.2	0.3
NCU02918	0	0
NCU02919	0	0
NCU02920	0	0
NCU02921	0	0
NCU02922	0.2	0
NCU02923	0.4	0
NCU02924	0	0
NCU02925	0	0.1
NCU02926	0.1	0
NCU02927	0	0
NCU02928	0	0
NCU02929	0.2	0.4
NCU02930	3.4	2
NCU02931	1.8	2.8
NCU02932	28.4	62
NCU02934	8.8	6.6
NCU02935	14.5	23.5
NCU02936	27.7	42.9
NCU02937	10.2	23.6
NCU02938	22.8	22.5
NCU02939	0	0.7
NCU02940	14.2	23.2
NCU02941	10.7	22.4
NCU02942	8.5	7.1
NCU02943	127.2	93.6
NCU02944	0.4	0.4
NCU02945	37.2	39.9
NCU02946	19.2	18.7
NCU02947	0	0
NCU02948	582.4	729.9
NCU02949	7.9	11.9
NCU02950	39.1	55.6
NCU02951	35.7	84.7
NCU02952	30.5	51.2
NCU02953	0	0
NCU02954	283	157.9
NCU02955	82.1	57.9
NCU02956	52	10.8
NCU02957	37.6	37.3
NCU02959	1.8	0.7
NCU02960	95.5	100.8
NCU02961	24	22.7
NCU02962	21.8	23.4
NCU02963	49.6	81.1
NCU02964	0.1	0
NCU02965	7.2	6.9
NCU02966	39.2	32.5
NCU02967	45	131.8
NCU02968	17.1	22.9
NCU02969	9.3	6.8
NCU02970	137.8	218.3
NCU02972	115.1	205
NCU02973	4.4	5.5
NCU02974	16.4	16.9
NCU02975	6.8	2.3
NCU02976	1.2	0.4
NCU02977	87.2	108.1
NCU02978	64.7	83.4
NCU02979	88.6	77.9
NCU02980	24.6	16.7
NCU02982	190.5	266
NCU02983	12.7	11.8
NCU02984	90.1	121.2
NCU02988	10.5	62.9
NCU02989	6	3.7
NCU02990	0	0
NCU02991	2.7	5.7
NCU02994	13.7	9.9
NCU02995	0	0
NCU02996	7.4	8.9
NCU02997	6.2	14.4
NCU02998	131.7	111.7
NCU03000	0.2	0.5
NCU03001	0.3	14.3
NCU03003	0	0.2
NCU03004	847.9	533.2
NCU03006	127.3	187.6
NCU03007	45.4	47.1
NCU03008	38.1	38.2
NCU03009	392.1	278.1
NCU03010	272.4	180.4
NCU03011	0.1	0.3
NCU03013	49.8	308
NCU03014	0	0.5
NCU03015	11.3	9.8
NCU03016	0	0
NCU03017	0	0
NCU03018	25.3	21.9
NCU03019	2.9	4
NCU03020	45.2	45.2
NCU03021	8.8	4.5
NCU03022	12.7	13.9
NCU03023	173.7	189.5
NCU03024	10.4	11.4
NCU03026	1.3	1
NCU03028	111.7	101.4
NCU03029	12.9	13.7
NCU03030	32.6	34.9
NCU03031	168.2	120.7
NCU03032	3	3.5
NCU03033	137.4	153
NCU03034	0	4.4
NCU03035	33.3	53.6
NCU03036	2.6	1.7
NCU03037	24.3	19.9
NCU03038	1055.1	668
NCU03039	118.2	77.8
NCU03040	4.5	8.9
NCU03041	8.7	6.4
NCU03042	52.7	35.3
NCU03043	123.7	103.4
NCU03044	0.5	0
NCU03045	18.5	22.5
NCU03047	55.1	49.4
NCU03048	16	12.2
NCU03049	0.3	0.4
NCU03050	157.7	169.4
NCU03051	32	26.5
NCU03052	0.2	0
NCU03053	7.5	5.6
NCU03054	20.4	16.1
NCU03055	51.6	59.5
NCU03056	0	0
NCU03057	27.7	21.8
NCU03058	16.4	11.4
NCU03059	12.2	11
NCU03060	37.7	34.2
NCU03061	247.3	135.8
NCU03062	50.8	35.2
NCU03063	7.8	7.1
NCU03064	80.6	68.1
NCU03065	59.7	37.5
NCU03066	60.6	63.7
NCU03067	3.5	4.5
NCU03068	68	82.8
NCU03070	27.8	18.1
NCU03071	38.4	22.3
NCU03072	8.3	4.5
NCU03073	39.2	34.9
NCU03074	2.4	1.6
NCU03076	301.9	237.7
NCU03077	8.4	8.5
NCU03078	12.2	32.6
NCU03079	11.2	19.9
NCU03080	29.4	17.6
NCU03081	50.4	106.6
NCU03082	11.8	9.5
NCU03083	167	166.5
NCU03084	133.3	138.9
NCU03085	42.2	49.8
NCU03086	34.3	26
NCU03087	143.8	92
NCU03088	42.7	30.8
NCU03089	46.7	54.5
NCU03091	26.4	36.9
NCU03092	152.9	244.3
NCU03093	205.9	303.4
NCU03094	59.4	70
NCU03095	10.8	12.5
NCU03096	6.8	9.1
NCU03097	30.3	29.4
NCU03098	2.9	1
NCU03099	21.2	32.2
NCU03100	3820.7	1614.5
NCU03101	63.5	41.8
NCU03102	1409.3	1050.6
NCU03103	13.9	13.1
NCU03104	0.1	0
NCU03105	4	7.7
NCU03106	12.5	8.7
NCU03107	10.8	12.3
NCU03108	238	137.1
NCU03109	0.1	0.2
NCU03110	8	12.7
NCU03111	3.8	2
NCU03112	420.7	276.5
NCU03113	38	42
NCU03114	23.3	28.3
NCU03115	18.7	29.3
NCU03116	32.5	28
NCU03117	552.5	252.1
NCU03118	917.1	642.7
NCU03120	17.5	15.9
NCU03121	1.4	2.2
NCU03122	10	12.7
NCU03123	2.9	2.2
NCU03124	237.5	193.3
NCU03125	396.5	366.8
NCU03126	438.6	554.9
NCU03127	37.3	38.9
NCU03128	12	11.3
NCU03129	16.6	13.7
NCU03130	96.4	77.2
NCU03131	24.6	45.8
NCU03132	18.9	35.9
NCU03133	17.9	32.3
NCU03134	0.2	0.6
NCU03135	45.3	105.9
NCU03136	18.3	15.1
NCU03137	26.1	38.3
NCU03138	17.8	45.5
NCU03139	445.5	269.5
NCU03140	0	0
NCU03141	21.4	42.7
NCU03142	14.9	10.3
NCU03145	85.6	60.2
NCU03146	11.5	16.1
NCU03147	77.7	101.9
NCU03148	1200.7	1215.9
NCU03149	4.8	5.8
NCU03150	2250.9	1282.5
NCU03151	837.5	534.9
NCU03152	51.7	67
NCU03153	0.5	3.4
NCU03154	39.6	34.9
NCU03155	227.8	154.7
NCU03156	531	260.8
NCU03157	2.8	2.3
NCU03158	16.8	12.3
NCU03159	27.5	67.4
NCU03160	0.1	0.1
NCU03161	0	0.1
NCU03162	0	0
NCU03163	0	0.4
NCU03164	17.1	15.4
NCU03165	0	0.5
NCU03166	466.4	300.3
NCU03167	0.3	0
NCU03168	80.4	81.4
NCU03169	15.6	12.7
NCU03170	11.4	42.6
NCU03171	36.5	41.8
NCU03172	0.2	0
NCU03173	80.8	58.2
NCU03174	33.1	27.2
NCU03175	21	21.6
NCU03176	29.7	24.8
NCU03177	65.5	77.6
NCU03178	14.1	13.6
NCU03179	0.5	0.9
NCU03180	0.5	1.7
NCU03181	0.1	0.1
NCU03182	0	0
NCU03183	0	0
NCU03184	128	44.5
NCU03186	23.8	14.2
NCU03187	7.6	6.9
NCU03188	86.1	66.3
NCU03189	0.1	0.5
NCU03190	0	0
NCU03191	38.8	32.1
NCU03192	101.2	458.8
NCU03193	98.6	59.8
NCU03194	194.9	151.6
NCU03195	13.8	5.8
NCU03197	16.1	12.1
NCU03198	0.2	0
NCU03199	362.6	410.8
NCU03200	151	126
NCU03202	1.7	5.4
NCU03203	17.1	19.1
NCU03204	15.2	18.4
NCU03205	53	5.5
NCU03206	30.9	36
NCU03207	124.6	173.2
NCU03208	7.1	87
NCU03209	0	0
NCU03210	0.1	0.3
NCU03211	48.7	60.5
NCU03212	14.6	13.9
NCU03213	0	2.6
NCU03214	122.1	53.4
NCU03215	6.4	4.5
NCU03216	70.9	44.6
NCU03217	135.1	95.8
NCU03218	57.4	63.5
NCU03219	45.6	49.5
NCU03220	15.3	12.1
NCU03221	8	7.7
NCU03222	96.2	87.6
NCU03223	96.1	47.9
NCU03225	24.1	15.3
NCU03226	88	60.9
NCU03228	0.1	0.2
NCU03229	80	72.5
NCU03230	48.4	37.5
NCU03231	22.8	23
NCU03232	18.2	25.9
NCU03233	969.7	1226.8
NCU03234	36.5	31.4
NCU03235	10.8	6.8
NCU03237	12.5	8.3
NCU03238	41.3	39.9
NCU03239	18.9	12.7
NCU03240	181.7	73.8
NCU03241	188.2	255.6
NCU03242	0.1	0
NCU03243	12.6	16.2
NCU03244	6.2	5.4
NCU03245	57.5	73.4
NCU03246	23.4	20.3
NCU03247	0.6	1.7
NCU03248	2.7	0.3
NCU03250	0	0
NCU03253	64.6	22.5
NCU03254	14.6	15.8
NCU03255	52.1	103.1
NCU03257	567.1	261.1
NCU03258	91.3	2.5
NCU03260	22.7	16.7
NCU03261	101.1	81.5
NCU03263	179.1	206.3
NCU03264	16.8	22.6
NCU03265	4.2	6.4
NCU03266	12.3	9.4
NCU03267	14.9	11.9
NCU03268	31.4	22.4
NCU03269	56.6	58.5
NCU03270	10.6	17.9
NCU03271	0	0
NCU03273	8.4	11.3
NCU03274	44.2	74.8
NCU03275	0	0
NCU03276	23.6	12.2
NCU03277	38	42.2
NCU03278	12.6	9.5
NCU03279	0.1	0.3
NCU03280	26.4	25.5
NCU03281	81	89.1
NCU03282	285.7	296
NCU03283	183.6	155.2
NCU03284	48.3	27.2
NCU03285	22.9	17.5
NCU03286	0	0
NCU03287	0.2	0.1
NCU03288	0	0
NCU03289	13.9	23
NCU03290	155.4	121.2
NCU03291	118.6	123.9
NCU03292	58.1	34.1
NCU03293	417.9	320.1
NCU03294	0	0.6
NCU03295	6.6	3
NCU03296	28.9	38.4
NCU03297	505.2	449.8
NCU03298	20.7	13.6
NCU03299	11.1	23
NCU03300	1557.2	2214.1
NCU03302	1145.1	690.1
NCU03303	61.2	142.7
NCU03304	310.4	682.3
NCU03305	192.8	215
NCU03306	177.3	210.3
NCU03307	21.4	28.3
NCU03308	21	17.2
NCU03309	354	312.8
NCU03310	310.3	375.8
NCU03311	52.3	29.3
NCU03312	52.3	33.5
NCU03313	53.3	27.3
NCU03314	157.4	102.8
NCU03315	87.6	91.4
NCU03316	27.2	30.5
NCU03317	28.7	22.5
NCU03318	45.8	3.5
NCU03319	141.5	167.8
NCU03320	2.8	4.7
NCU03321	49.7	50.7
NCU03322	0	0.1
NCU03323	39.4	7.4
NCU03325	27.4	15.7
NCU03328	0	0
NCU03329	17	25.1
NCU03330	14.7	10.2
NCU03331	0.7	0.8
NCU03332	16.9	12.4
NCU03333	33.7	14.5
NCU03334	34.8	65.8
NCU03335	41.2	45.1
NCU03336	26.2	19.5
NCU03337	2.8	2.6
NCU03338	23.7	17.8
NCU03339	353.2	223.1
NCU03340	512.9	422.3
NCU03341	40	24.9
NCU03342	7.7	6.7
NCU03343	61.4	67.4
NCU03344	5.7	6.7
NCU03345	9.1	8.8
NCU03346	0	0
NCU03347	137.2	91.3
NCU03348	1.4	4.2
NCU03350	20.1	22.3
NCU03351	0.2	0.1
NCU03352	11.6	9.2
NCU03354	2.5	2.1
NCU03355	0.5	6.4
NCU03356	11.6	13.8
NCU03357	47.7	41.2
NCU03358	151.1	120.7
NCU03359	92.8	93.8
NCU03360	12.1	11.1
NCU03361	8.4	13.1
NCU03362	130.5	55.4
NCU03363	52.6	35
NCU03364	74.2	57.3
NCU03365	5.2	7.3
NCU03366	84.7	84.2
NCU03367	40.6	45.2
NCU03368	299.8	505.6
NCU03369	25.1	28.5
NCU03370	885.8	1199.6
NCU03372	1.6	1.8
NCU03373	0.4	0
NCU03374	0	0
NCU03375	0	0.2
NCU03376	0.6	0.6
NCU03378	4.2	5.3
NCU03379	5	5.9
NCU03380	11	18.3
NCU03381	22.3	24.9
NCU03382	2.2	1.1
NCU03383	4.8	2.1
NCU03384	10.2	17
NCU03385	18.2	80
NCU03386	7.5	13.3
NCU03387	99.8	94.8
NCU03388	31.6	51.7
NCU03390	0	0
NCU03392	1.3	0.8
NCU03393	1798.4	1468.1
NCU03394	59.8	49.2
NCU03395	150.1	150.8
NCU03396	170	188
NCU03397	23	26.5
NCU03398	5.5	14
NCU03399	188	131
NCU03400	24.4	18
NCU03401	65.8	71.2
NCU03402	0	0
NCU03403	0	0
NCU03404	3.2	7.5
NCU03405	14.8	19.9
NCU03406	26.4	13.5
NCU03407	48.1	108.6
NCU03408	6.1	12.3
NCU03409	7.3	12
NCU03410	18.2	38.1
NCU03411	0.1	0
NCU03412	0	0
NCU03413	0	0
NCU03414	0	0
NCU03415	11.7	40.1
NCU03416	9.2	4.4
NCU03417	4.3	5.2
NCU03418	2.8	2.1
NCU03420	0	0
NCU03421	2.3	3
NCU03422	0.2	0.5
NCU03423	40.5	68.5
NCU03424	0	0.3
NCU03425	320.1	368.8
NCU03426	20.1	15.8
NCU03427	0	0
NCU03428	0	0
NCU03429	0	0
NCU03430	1.2	3.7
NCU03433	58.6	56.9
NCU03435	16.8	28.3
NCU03436	63.7	65.9
NCU03437	0.2	0.1
NCU03438	134.5	226.6
NCU03439	36.4	22.7
NCU03440	57.8	48.1
NCU03441	27.6	23.5
NCU03444	11.3	9.2
NCU03445	71.3	33.6
NCU03446	0	0
NCU03448	0	0
NCU03449	0	0
NCU03451	0	1.2
NCU03452	0.4	0
NCU03456	0	0.3
NCU03458	21.9	28.6
NCU03459	13.7	24.2
NCU03460	41.4	53.2
NCU03461	21.7	23
NCU03462	2.1	6.3
NCU03463	180.1	138
NCU03464	11.4	44.5
NCU03465	50.9	75.4
NCU03466	12.1	33.9
NCU03467	0	0
NCU03468	0.6	0.2
NCU03469	0	0.3
NCU03470	0	0
NCU03471	11.3	18.6
NCU03472	0	0
NCU03473	0	0.2
NCU03474	0	0
NCU03475	0	0
NCU03476	0.4	0.5
NCU03477	0.1	0.2
NCU03478	0	0.1
NCU03479	27.4	26.8
NCU03480	19.7	15.7
NCU03481	0	0
NCU03482	101.9	80
NCU03483	18.8	20.6
NCU03484	0.2	0.2
NCU03485	37.5	95.3
NCU03486	49	28.3
NCU03488	711.9	439.1
NCU03489	1.5	2.8
NCU03490	0.1	0.1
NCU03491	43.7	31
NCU03492	131.5	257.7
NCU03493	78.9	41.4
NCU03494	2.4	0
NCU03495	15.5	8.6
NCU03496	5	2.6
NCU03497	77.7	23.5
NCU03498	78.7	31.2
NCU03499	0	0
NCU03500	277.1	103.4
NCU03501	18.9	15.3
NCU03502	4.4	11
NCU03503	24.6	35.4
NCU03504	32.5	26.8
NCU03505	20.3	21.1
NCU03506	5.9	2
NCU03507	4.6	1.8
NCU03509	22.8	248.7
NCU03511	0	0.2
NCU03512	0.1	0
NCU03513	0	0
NCU03514	1	1.4
NCU03515	206	211.3
NCU03516	50.8	48.9
NCU03517	58.5	84.3
NCU03518	1.2	1.1
NCU03520	0	0
NCU03523	19.1	19.7
NCU03525	13.6	17.5
NCU03526	56.6	44.8
NCU03527	19.2	23.8
NCU03528	21.8	21.3
NCU03529	10.2	19.1
NCU03530	601.9	392
NCU03531	0	0
NCU03532	0.8	1
NCU03533	13.2	4.4
NCU03534	2.2	0.9
NCU03535	14.4	26.8
NCU03536	277.7	178.7
NCU03537	7.6	14.3
NCU03538	30.1	36.8
NCU03539	212	119.4
NCU03540	0	0
NCU03541	0	0
NCU03542	21.1	67.4
NCU03543	90.3	78
NCU03544	3.6	2.8
NCU03545	3.9	4.8
NCU03546	22.9	31.2
NCU03547	0	0
NCU03548	115.3	175.4
NCU03549	59.1	91.2
NCU03550	9.2	11.2
NCU03551	1.3	0.9
NCU03552	2.2	10.3
NCU03553	0	0.5
NCU03554	48	55.7
NCU03555	7.5	12
NCU03556	49.9	64
NCU03557	14.4	24.6
NCU03558	761.1	1016.2
NCU03559	640.7	366.3
NCU03560	19.2	22.5
NCU03561	265.3	157.4
NCU03562	0.3	0
NCU03563	16.4	16.5
NCU03564	3.5	6.1
NCU03565	960.9	613.8
NCU03566	6.6	13.2
NCU03567	11.7	15.7
NCU03568	0	0
NCU03569	49.2	23.6
NCU03570	0	0
NCU03571	42.8	42.8
NCU03572	58.9	54.5
NCU03573	4.3	5.7
