ORF	WT	Opt
NCU00448	7.5	9.1
NCU00449	0	0.2
NCU00450	93.2	34.1
NCU00451	93.5	5.3
NCU00453	43.6	27.2
NCU00454	20.3	34
NCU00455	32.3	31.6
NCU00456	143.6	102.5
NCU00457	316.7	230.6
NCU00458	26.1	30.1
NCU00459	11.3	11.1
NCU00461	75.6	52.7
NCU00462	0	0
NCU00463	65.6	38.2
NCU00464	1674.3	1284.4
NCU00465	215.2	123.6
NCU00466	34.1	21.7
NCU00467	71.6	73.7
NCU00468	32.3	21.8
NCU00469	23.8	15.1
NCU00470	18.3	8.9
NCU00471	18.4	2.6
NCU00472	97.7	135.6
NCU00473	28.8	55.9
NCU00474	0	0
NCU00475	2070.6	1688.1
NCU00476	59.3	71.4
NCU00477	712.4	516
NCU00478	22.6	22.8
NCU00480	64	49.1
NCU00481	69.7	53.8
NCU00483	23.9	19.3
NCU00484	238.9	180.2
NCU00485	0	0
NCU00486	47.3	30.1
NCU00487	22.3	30.9
NCU00488	278	241.7
NCU00489	1350.1	1083
NCU00490	55.1	39.7
NCU00491	0	0
NCU00492	18	18.2
NCU00493	177.5	188
NCU00494	8.1	5.9
NCU00495	19.7	23.1
NCU00496	0.6	4.9
NCU00497	17	10.7
NCU00498	19.6	12.7
NCU00499	132.1	149.1
NCU00500	0	0
NCU00501	14.8	14.3
NCU00502	530.9	472.8
NCU00503	3.2	3.3
NCU00504	13	24.6
NCU00505	175	171.3
NCU00506	53.8	180.3
NCU00509	0.6	1.5
NCU00510	0	0
NCU00512	4.8	4.7
NCU00513	65.9	73.9
NCU00515	18.9	16.4
NCU00516	0	0.7
NCU00517	4.2	3.1
NCU00518	70.1	77.4
NCU00519	282.3	141.9
NCU00520	230.2	301.8
NCU00521	70.8	68.2
NCU00522	187.5	395.9
NCU00523	39.8	39.4
NCU00524	0	0
NCU00525	0	0.4
NCU00526	0.1	0
NCU00527	77.4	37.5
NCU00528	23	23
NCU00529	0	0
NCU00530	0	0
NCU00531	0	0
NCU00532	0	0
NCU00533	0	0
NCU00534	0	0
NCU00535	14.6	18.7
NCU00536	58.3	46.4
NCU00537	42.9	40.3
NCU00538	19.1	14.8
NCU00541	106	96.7
NCU00542	85.7	105.7
NCU00545	4.9	4.3
NCU00547	0.2	0
NCU00548	10.6	11.7
NCU00549	68.2	71.5
NCU00550	11.3	6.4
NCU00551	33	24
NCU00552	152.4	64
NCU00553	39.1	36.1
NCU00554	479.8	187.7
NCU00556	60.1	46.7
NCU00557	0	0
NCU00558	3.6	1.8
NCU00559	1.7	2.1
NCU00560	19.5	24.5
NCU00561	0.5	0.8
NCU00562	34.5	35.4
NCU00563	1.3	0.5
NCU00564	195.5	164.8
NCU00565	83.4	76.2
NCU00566	224.4	372.9
NCU00567	245.7	179.8
NCU00568	31.8	24.7
NCU00569	34	24.9
NCU00570	29.6	37.9
NCU00571	86.7	177.4
NCU00572	0.5	0.5
NCU00573	407.1	253.7
NCU00574	0.7	2.2
NCU00575	539.2	420
NCU00576	17.9	14.7
NCU00577	19.6	28.3
NCU00578	33.9	79.3
NCU00579	53.8	48.6
NCU00580	18.2	14.4
NCU00581	18.4	29.5
NCU00582	118.9	107.1
NCU00583	0	0.4
NCU00584	57.8	64.9
NCU00585	305.2	225.5
NCU00586	16.6	9.5
NCU00587	50.7	56.6
NCU00589	99.1	107.1
NCU00590	36.8	150
NCU00591	4.9	6.7
NCU00592	28.6	28.9
NCU00593	49.3	45.6
NCU00594	0	0
NCU00595	59	57.5
NCU00596	24.6	77.6
NCU00597	30	23.2
NCU00598	42.7	36.9
NCU00599	22.6	18.5
NCU00600	89.5	89.4
NCU00602	38.5	46.7
NCU00603	0	0
NCU00604	8.8	7.5
NCU00605	40	20.5
NCU00606	0.9	1.1
NCU00607	0	0
NCU00608	4.2	4.8
NCU00609	23.6	22
NCU00611	16.6	19.5
NCU00614	119.4	77
NCU00616	3.2	4.8
NCU00617	53	77
NCU00618	1171.2	730.6
NCU00619	29.7	45.1
NCU00620	4.2	7.7
NCU00621	26.3	19.5
NCU00622	49.3	44.2
NCU00623	31.4	39.9
NCU00624	68.7	62
NCU00627	622	471.8
NCU00628	15.6	16.8
NCU00629	781.6	855.6
NCU00630	18.3	12.4
NCU00631	11.2	7.6
NCU00632	22.4	18.3
NCU00633	153	255.4
NCU00634	650.6	1180
NCU00635	1411.9	1804.6
NCU00636	746.4	414.3
NCU00638	4.1	9.7
NCU00640	0.4	0
NCU00641	19.8	29.6
NCU00642	1.3	0.4
NCU00643	13.9	4.9
NCU00644	222.3	195.4
NCU00645	0	0
NCU00646	4.4	11.8
NCU00648	0	0
NCU00649	102.3	103.5
NCU00650	32	31.9
NCU00651	22.5	31.6
NCU00652	0.2	0.3
NCU00653	0.3	0.1
