Id	WT30_a	WT30_b	WT30_c	upf1E30_a	upf1E30_b	upf1E30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.upf1E30_a	norm.upf1E30_b	norm.upf1E30_c	baseMean	WT	upf1E30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNH00150	13736	10574	16275	14412	13502	11371	11900	16392	12723	11169	13865	13539	13264.63	13672	12858	0.941	-0.088	0.50216794539641	0.586371978959567	0.019	0.0081	0.0124	0.0124	TRUE	0.3692
CNH00160	1196	332	746	363	307	222	1036	515	583	281	315	264	499.15	711	287	0.403	-1.313	7.25043524447763e-10	4.54644132454094e-09	0.075	0.0133	0.0303	0.0303	TRUE	1.8997
CNH00170	15363	7371	19044	21219	11259	12314	13310	11427	14887	16444	11562	14662	13715.23	13208	14223	1.077	0.107	0.433623925849323	0.521229485043401	0.0209	0.0081	0.0133	0.0133	TRUE	0.3276
CNH00180	3488	2136	4436	5701	3695	3624	3022	3311	3468	4418	3794	4315	3721.38	3267	4176	1.278	0.354	0.000617457072493666	0.00167177511294445	0.0052	0.0086	0.0074	0.0074	TRUE	0.0778
CNH00200	4873	3142	5543	6409	5570	4587	4222	4871	4333	4967	5720	5462	4928.96	4475	5383	1.203	0.267	0.00854663640339825	0.0177077543237648	0.0052	0.0084	0.0072	0.0072	TRUE	0.0716
CNH00210	1591	854	1439	1913	1826	1221	1378	1324	1125	1483	1875	1454	1439.76	1276	1604	1.258	0.331	0.0113603706454914	0.0228102201267243	0.0152	0.0098	0.0116	0.0116	TRUE	0.2634
CNH00220	14660	9839	17790	16440	13470	11371	12701	15252	13907	12740	13832	13539	13662	13953	13370	0.958	-0.061	0.532319777776611	0.614025612986563	0.0046	0.0081	0.0069	0.0069	TRUE	0.0806
CNH00230	1076	502	1155	2455	1674	1621	932	778	903	1903	1719	1930	1360.82	871	1851	2.118	1.083	5.77870964695208e-22	8.18403579914496e-21	0.0051	0.0099	0.0082	0.0082	TRUE	0.0956
CNH00235	1136	457	1140	1210	714	719	984	708	891	938	733	856	851.8	861	842	0.976	-0.036	0.805181205394557	0.848583404254273	0.0199	0.0111	0.0138	0.0138	TRUE	0.2701
CNH00250	3	0	1	3	1	0	3	0	1	2	1	0	1.12	1	1	0.978	-0.032	0.987268967771646	0.990556875324019	0	2.4243	1.9647	1.9647	TRUE	0.3743
CNH00260	2253	933	2340	3859	3035	2004	1952	1446	1829	2991	3117	2386	2286.8	1742	2831	1.623	0.698	3.12866968453089e-07	1.47803440264225e-06	0.0203	0.0091	0.0129	0.0129	TRUE	0.2586
CNH00270	1154	550	1115	1464	1044	1108	1000	853	872	1135	1072	1319	1041.65	908	1175	1.292	0.369	0.00259867278937695	0.00612082560340812	0.0084	0.0105	0.0098	0.0098	TRUE	0.1349
CNH00280	1856	959	2014	2905	2075	1786	1608	1487	1574	2251	2131	2127	1862.94	1556	2170	1.393	0.478	5.55388815120576e-07	2.53695180332128e-06	7e-04	0.0093	0.006	0.006	TRUE	0.0175
CNH00285	488	214	427	457	289	254	423	332	334	354	297	302	340.28	363	318	0.876	-0.192	0.22222209372678	0.301574127195147	0.0123	0.0158	0.0147	0.0147	TRUE	0.2476
CNH00290	6826	4298	7257	6740	5714	4885	5914	6663	5673	5223	5868	5816	5859.48	6083	5636	0.927	-0.11	0.278446117623772	0.362724227124678	0.0054	0.0083	0.0072	0.0072	TRUE	0.0838
CNH00300	3388	1944	4065	3751	2073	2305	2935	3014	3178	2907	2129	2744	2817.78	3042	2593	0.853	-0.23	0.0609270408184688	0.0997097349493362	0.0128	0.0088	0.0105	0.0105	TRUE	0.298
CNH00320	852	367	982	857	435	554	738	569	768	664	447	660	640.87	692	590	0.851	-0.233	0.166154047140354	0.237701062906597	0.035	0.0121	0.0187	0.0187	TRUE	0.5293
CNH00330	4675	2632	5037	7083	5161	4447	4050	4080	3938	5489	5300	5295	4691.95	4023	5361	1.333	0.415	1.01348747113594e-06	4.42224816240225e-06	2e-04	0.0085	0.005	0.005	TRUE	0.0054
CNH00340	15642	8771	18354	16647	13442	10137	13552	13597	14348	12901	13803	12070	13378.41	13832	12925	0.934	-0.098	0.281226841246979	0.365627992111607	0.0027	0.0081	0.0059	0.0059	TRUE	0.0431
CNH00350	5186	2322	5203	4865	3864	2808	4493	3600	4067	3770	3968	3343	3873.56	4053	3694	0.911	-0.135	0.233265910853326	0.313290062236241	0.0094	0.0086	0.0089	0.0089	TRUE	0.1146
CNH00360	5823	2847	6729	9681	6584	5296	5045	4413	5260	7502	6761	6306	5881.3	4906	6856	1.397	0.482	6.97507090356317e-06	2.6508469007349e-05	0.0076	0.0083	0.0081	0.0081	TRUE	0.0926
CNH00370	2878	1875	3467	4203	3823	2974	2493	2907	2710	3257	3926	3541	3139.05	2703	3575	1.323	0.404	0.000189806696767537	0.000568219867287819	0.0068	0.0087	0.0081	0.0081	TRUE	0.0901
CNH00380	1518	967	1805	2369	1791	1493	1315	1499	1411	1836	1839	1778	1612.99	1408	1818	1.293	0.37	0.000210849786360777	0.000626406268040893	0.0014	0.0096	0.0065	0.0065	TRUE	0.0404
CNH00390	2671	1204	2838	4562	2724	2389	2314	1866	2219	3535	2797	2845	2596.03	2133	3059	1.433	0.519	3.23556454527459e-05	0.000110885841810134	0.0146	0.0089	0.0108	0.0108	TRUE	0.2272
CNH00400	5998	3516	6450	7492	6615	4370	5196	5451	5042	5806	6793	5203	5581.87	5230	5934	1.135	0.183	0.101788125414371	0.156531715834443	0.0097	0.0084	0.0088	0.0088	TRUE	0.195
CNH00410	3385	1692	3262	2705	2134	1785	2933	2623	2550	2096	2191	2125	2419.77	2702	2137	0.791	-0.338	0.00059305983541485	0.00161164435798673	0.0025	0.009	0.0066	0.0066	TRUE	0.0688
CNH00420	2412	1283	2630	3499	3065	2288	2090	1989	2056	2712	3147	2724	2452.96	2045	2861	1.398	0.484	1.73102894438741e-06	7.26615569562999e-06	0.0034	0.009	0.0069	0.0069	TRUE	0.0929
CNH00430	25111	17877	29773	23325	20982	16950	21755	27713	23275	18076	21546	20182	22091.12	24248	19935	0.822	-0.282	0.013284096762765	0.0261047609356782	0.0119	0.008	0.0093	0.0093	TRUE	0.1908
CNH00440	3815	2527	4782	16187	10978	10688	3305	3917	3738	12544	11273	12726	7917.36	3653	12181	3.336	1.738	1.8667604431934e-65	1.02255274524676e-63	0.0056	0.0082	0.0073	0.0073	TRUE	0.0851
CNH00450	1091	521	1151	1691	1131	1053	945	808	900	1310	1161	1254	1063.05	884	1242	1.402	0.487	1.47514748037945e-05	5.32241562327434e-05	0.0035	0.0104	0.0081	0.0081	TRUE	0.0631
CNH00460	1204	699	1374	5777	4764	3677	1043	1084	1074	4477	4892	4378	2824.66	1067	4582	4.297	2.103	6.85512789295318e-106	7.44848978270388e-104	0.0019	0.0088	0.0061	0.0061	TRUE	0.0425
CNH00470	1986	932	1974	1819	1168	1145	1721	1445	1543	1410	1199	1363	1446.82	1570	1324	0.843	-0.247	0.0309097744359001	0.0552210202051605	0.0064	0.0097	0.0087	0.0087	TRUE	0.0856
CNH00480	4439	2554	5278	3906	2964	2365	3846	3959	4126	3027	3044	2816	3469.6	3977	2962	0.745	-0.425	3.08908393679405e-06	1.2401240662066e-05	0.0011	0.0087	0.0057	0.0057	TRUE	0.0224
CNH00490	6063	3810	7140	2138	1793	1479	5253	5906	5582	1657	1841	1761	3666.61	5580	1753	0.314	-1.671	7.24430182329509e-67	4.06908749871185e-65	0.0025	0.0086	0.0064	0.0064	TRUE	0.0321
CNH00495	194	95	255	198	130	111	168	147	199	153	133	132	155.63	171	139	0.811	-0.303	0.11914156516885	0.178698867150743	0.0093	0.0253	0.0207	0.0207	TRUE	0.2223
CNH00500	4301	2315	4531	4185	3094	2764	3726	3589	3542	3243	3177	3291	3428.07	3619	3237	0.894	-0.161	0.0646608998320601	0.105145349383438	3e-04	0.0087	0.0052	0.0052	TRUE	0.0083
CNH00510	9080	5742	11077	11062	8054	6659	7867	8901	8659	8573	8270	7929	8366.49	8476	8257	0.975	-0.037	0.685990612603796	0.751776749394503	0.0023	0.0082	0.006	0.006	TRUE	0.0484
CNH00520	4104	2593	4460	5191	3801	3481	3556	4020	3487	4023	3903	4145	3855.42	3688	4024	1.092	0.127	0.187772045000242	0.262453208406074	0.0032	0.0086	0.0064	0.0064	TRUE	0.0741
CNH00530	2979	2007	3107	3259	2985	2529	2581	3111	2429	2526	3065	3011	2787.18	2707	2867	1.06	0.084	0.492163335581403	0.57715120103212	0.0136	0.0088	0.0105	0.0105	TRUE	0.2033
CNH00540	259636	174444	315211	189835	124234	126426	224939	270424	246411	147116	127573	150532	194499.09	247258	141740	0.573	-0.803	2.56790713257653e-14	2.27237496324663e-13	0.008	0.0079	0.008	0.008	TRUE	0.0936
CNH00550	5299	2742	5271	3766	2646	2026	4591	4251	4121	2919	2717	2412	3501.66	4321	2683	0.621	-0.687	5.24589619128496e-11	3.62563086087974e-10	0.0056	0.0086	0.0076	0.0076	TRUE	0.0935
CNH00560	3107	1725	3465	3085	2081	2008	2692	2674	2709	2391	2137	2391	2498.86	2692	2306	0.857	-0.223	0.0190397581022462	0.0357595683484523	0.0014	0.009	0.0061	0.0061	TRUE	0.0498
CNH00570	1347	866	1487	1246	944	845	1167	1342	1162	966	969	1006	1102.17	1224	980	0.803	-0.317	0.00350247981747261	0.0080493884293372	0.0024	0.0103	0.0076	0.0076	TRUE	0.0817
CNH00580	1968	1215	2090	2336	2135	1491	1705	1883	1634	1810	2192	1775	1833.39	1741	1926	1.108	0.148	0.205707254782445	0.283515842108141	0.0091	0.0094	0.0092	0.0092	TRUE	0.1765
CNH00600	260	116	263	348	299	242	225	180	206	270	307	288	245.92	204	288	1.406	0.492	0.00224299361317145	0.00536118343602609	0.003	0.0189	0.0144	0.0144	TRUE	0.0932
CNH00610	1651	903	1677	2214	1602	1473	1430	1400	1311	1716	1645	1754	1542.64	1380	1705	1.236	0.305	0.00194668172411095	0.00471586493691789	0.001	0.0096	0.0063	0.0063	TRUE	0.0243
CNH00620	4391	2431	4976	3268	2719	2342	3804	3769	3890	2533	2792	2789	3262.65	3821	2705	0.707	-0.499	5.48482928497049e-08	2.85125086280662e-07	0.0012	0.0087	0.0058	0.0058	TRUE	0.0381
CNH00630	3193	2216	3891	3698	3757	2716	2766	3435	3042	2866	3858	3234	3200.16	3081	3319	1.078	0.108	0.397099100404609	0.484977489862125	0.0156	0.0087	0.0114	0.0114	TRUE	0.2456
CNH00640	1929	975	2318	2344	1319	1386	1671	1511	1812	1817	1354	1650	1635.99	1665	1607	0.965	-0.052	0.684539548486427	0.750683012469894	0.0144	0.0095	0.0112	0.0112	TRUE	0.2285
CNH00650	639	379	668	1338	919	882	554	588	522	1037	944	1050	782.35	555	1010	1.827	0.869	4.52705873045548e-14	3.94288374053337e-13	0.002	0.0113	0.0081	0.0081	TRUE	0.0394
CNH00660	268	139	282	216	152	130	232	215	220	167	156	155	191.06	222	159	0.716	-0.482	0.00397003246474664	0.00898374024456837	0	0.0221	0.0147	0.0147	TRUE	0.0222
CNH00670	9637	6163	11558	11223	8464	7260	8349	9554	9035	8697	8692	8644	8828.59	8979	8678	0.967	-0.049	0.586626578290018	0.664188753144215	0.0021	0.0082	0.0057	0.0057	TRUE	0.0461
CNH00690	3152	1817	3679	4613	3561	2966	2731	2817	2876	3575	3657	3532	3197.78	2808	3588	1.278	0.354	5.48303266637214e-05	0.000180893680999077	2e-04	0.0087	0.0052	0.0052	TRUE	0.0072
CNH00700	2661	1309	3032	4154	3369	2687	2305	2029	2370	3219	3460	3199	2763.82	2235	3293	1.471	0.557	3.25032771882031e-08	1.72207610874029e-07	0.0037	0.0089	0.0069	0.0069	TRUE	0.0757
CNH00710	2378	1124	2542	2942	2070	1641	2060	1742	1987	2280	2126	1954	2024.88	1930	2120	1.098	0.134	0.219426398753013	0.298513581883204	0.0059	0.0092	0.0081	0.0081	TRUE	0.084
CNH00713	48	21	50	226	145	135	42	33	39	175	149	161	99.67	38	162	4.229	2.08	8.26968351992595e-18	9.21201048236457e-17	0	0.0351	0.0259	0.0259	TRUE	0.067
CNH00715	383	180	369	408	253	225	332	279	288	316	260	268	290.53	300	281	0.938	-0.092	0.557448933358097	0.63757921144046	0.0071	0.0172	0.0141	0.0141	TRUE	0.1407
CNH00720	1660	932	2018	2519	1955	1690	1438	1445	1578	1952	2008	2012	1738.74	1487	1991	1.338	0.42	1.49966573870001e-05	5.40499429913194e-05	0.001	0.0094	0.0062	0.0062	TRUE	0.0354
CNH00730	900	506	819	2052	1938	1393	780	784	640	1590	1990	1659	1240.55	735	1746	2.381	1.252	3.34146723888071e-22	4.79377594357172e-21	0.0123	0.0101	0.011	0.011	TRUE	0.1802
CNH00740	406	193	440	577	387	372	352	299	344	447	397	443	380.4	332	429	1.289	0.366	0.00844680608706343	0.0175161815928664	0.0023	0.015	0.0112	0.0112	TRUE	0.0719
CNH00750	1605	864	1924	1738	1237	1210	1391	1339	1504	1347	1270	1441	1381.97	1411	1353	0.957	-0.063	0.548495004714438	0.629292866755633	0.0027	0.0098	0.0073	0.0073	TRUE	0.0404
