# hiTrans_cc.txt
# Genes with high translation efficiency
# In both H99 and JEC21:
#   - in top 5% by ribosome occupancy in TPM
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_01820	CNC03080	341.772	741.319	2.169	318.951	1345.618	4.219
CNAG_01761	CNC02620	1187.467	1347.822	1.135	574.044	736.486	1.283
CNAG_02007	CNK03420	694.769	894.33	1.287	544.623	1169.387	2.147
CNAG_00992	CND01200	253.936	890.596	3.507	263.066	1170.429	4.449
CNAG_06663	CNF03560	715.311	1091.265	1.526	800.441	899.136	1.123
CNAG_05596	CNH02390	648.901	1003.029	1.546	994.39	973.976	0.979
CNAG_06208	CNM02070	251.182	977.025	3.89	231.871	987.915	4.261
CNAG_00261	CNA02520	491.726	877.153	1.784	479.197	1074.539	2.242
CNAG_03263	CNG03130	954.553	798.169	0.836	452.489	1114.038	2.462
CNAG_05909	CNF00630	574.605	865.078	1.506	560.524	1007.662	1.798
CNAG_01557	CNC06280	1024.892	1048.557	1.023	831.85	787.614	0.947
CNAG_04640	CNJ00800	216.739	823.307	3.799	159.437	970.757	6.089
CNAG_06900	CNK00280	530.416	866.46	1.634	265.218	908.383	3.425
CNAG_02748	CNC03700	441.992	754.532	1.707	429.241	1013.715	2.362
CNAG_04441	CNI01160	248.221	778.847	3.138	399.054	986.33	2.472
CNAG_04064	CNB05480	383.145	738.747	1.928	751.482	993.946	1.323
CNAG_00930	CND00700	332.891	797.899	2.397	311.185	918.707	2.952
CNAG_01148	CND02730	519.508	610.226	1.175	668.943	1089.72	1.629
CNAG_06544	CNF04730	726.68	927.681	1.277	756.273	747.428	0.988
CNAG_02035	CNE05000	402.233	863.815	2.148	380.913	811.12	2.129
CNAG_01840	CNC03260	532.61	726.626	1.364	329.248	939.884	2.855
CNAG_03787	CNB02810	325.879	710.22	2.179	305.528	944.691	3.092
CNAG_00536	CNA05180	1242.292	877.506	0.706	2231.665	766.133	0.343
CNAG_01120	CND02450	417.033	634.814	1.522	481.782	1005.269	2.087
CNAG_04637	CNJ00750	595.48	803.403	1.349	762.208	814.715	1.069
CNAG_01273	CND03930	1207.26	924.204	0.766	386.225	690.531	1.788
CNAG_05455	CNH01170	900.916	804.943	0.893	1898.117	788.377	0.415
CNAG_07326	CNA01950	921.258	900.433	0.977	800.309	677.296	0.846
CNAG_00019	CNA00120	784.948	783.67	0.998	1198.041	791.596	0.661
CNAG_01137	CND02620	120.7	505.892	4.191	311.555	1060.637	3.404
CNAG_06646	CNF03700	306.064	897.346	2.932	390.258	661.015	1.694
CNAG_03944	CNB04310	303.799	800.937	2.636	532.44	756.786	1.421
CNAG_03435	CNG01500	1229.993	807.765	0.657	780.811	723.664	0.927
CNAG_02443	CNE01150	771.299	769.015	0.997	767.202	744.224	0.97
CNAG_00065	CNA00560	425.316	721.696	1.697	265.593	781.823	2.944
CNAG_04066	CNB05500	330.04	771.49	2.338	264.487	731.778	2.767
CNAG_03223	CNG03500	332.062	532.639	1.604	387.505	938.768	2.423
CNAG_00270	CNA02590	945.13	715.891	0.757	1988.079	750.249	0.377
CNAG_01198	CND03220	814.193	734.268	0.902	2131.072	722.747	0.339
CNAG_05059	CNL05600	298.359	591.499	1.983	1052.318	862.081	0.819
CNAG_01588	CNC01010	745.038	950.544	1.276	482.797	485.464	1.006
CNAG_02880	CNC04930	865.416	729.816	0.843	874.342	705.425	0.807
CNAG_07362	CNA04600	536.487	686.192	1.279	449.9	746.39	1.659
CNAG_07660	CNF04450	262.295	562.698	2.145	601.963	865.664	1.438
CNAG_00741	CNA07200	345.428	708.523	2.051	275.99	708.868	2.568
CNAG_04969	CNL06460	204.275	605.112	2.962	229.457	808.581	3.524
CNAG_05179	CNL04470	446.71	604.885	1.354	366.26	799.68	2.183
CNAG_00715	CNA06940	1425.211	788.8	0.553	1993.93	610.413	0.306
CNAG_04828	CNJ02540	428.994	663.454	1.547	1223.405	725.88	0.593
CNAG_03322	CNG02560	196.548	557.727	2.838	346.16	791.673	2.287
CNAG_00573	CNA05580	240.642	695.64	2.891	231.225	645.06	2.79
CNAG_02140	CNE03960	541.592	611.704	1.129	349.63	728.785	2.084
CNAG_00307	CNA02905	520.518	667.653	1.283	663.275	672.727	1.014
CNAG_04976	CNL06390	300.251	661.365	2.203	273.7	672.224	2.456
CNAG_01800	CNC02910	802.41	710.114	0.885	1070.194	620.966	0.58
CNAG_01060	CND01910	972.455	635.194	0.653	2139.244	686.69	0.321
CNAG_05701	CNF02720	568.637	642.989	1.131	318.207	673.449	2.116
CNAG_05578	CNH02250	702.696	721.905	1.027	738.973	586.421	0.794
CNAG_07851	CNJ02060	436.568	460.122	1.054	317.842	838.906	2.639
CNAG_04054	CNB05380	932.144	725.97	0.779	627.56	564.476	0.899
CNAG_02858	CNC04750	488.815	633.563	1.296	756.878	655.429	0.866
CNAG_05267	CNH03630	627.82	643.154	1.024	985.831	644.098	0.653
CNAG_03916	CNB04050	271.833	475.443	1.749	224.845	801.178	3.563
CNAG_00935	CND00750	294.375	601.088	2.042	305.247	673.116	2.205
CNAG_02091	CNE04440	391.988	591.59	1.509	420.515	669.654	1.592
CNAG_02761	CNC03830	766.732	633.148	0.826	389.33	610.428	1.568
CNAG_01813	CNC03020	327.614	453.614	1.385	353.377	774.352	2.191
CNAG_05980	CNF00040	390.803	612.843	1.568	319.334	613.819	1.922
CNAG_06180	CNM01810	201.222	604.673	3.005	248.281	616.155	2.482
CNAG_03226	CNG03480	252.898	555.217	2.195	224.902	660.903	2.939
CNAG_04290	CNI02590	1078.838	665.158	0.617	936.908	538.469	0.575
CNAG_06723	CNB00800	499.175	518.947	1.04	538.457	682.949	1.268
