# ribosum_JEC21.txt
# Summary of ribosome profiling data, C. neoformans serotype D JEC21
# Mean of 2 quasi-replicates (WT JEC21 and AGO1 deletion mutant)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: JEC21 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNA03220	24.583	4.165	0.169
CNA03240	15.331	20.506	1.338
CNA03250	29.634	13.442	0.454
CNA03265	11.112	1.415	0.127
CNA03280	15.32	10.969	0.716
CNA03290	1.987	2.087	1.051
CNA03300	14.233	13.596	0.955
CNA03310	29.185	29.996	1.028
CNA03320	11.54	5.157	0.447
CNA03330	7879.529	5440.871	0.691
CNA03340	70.943	40.959	0.577
CNA03350	33.148	21.078	0.636
CNA03360	46.503	17.958	0.386
CNA03370	2.577	0.729	0.283
CNA03380	54.258	36.416	0.671
CNA03390	41.867	28.898	0.69
CNA03400	7.224	3.964	0.549
CNA03410	16.82	10.201	0.606
CNA03420	65.82	146.476	2.225
CNA03430	32.897	14.032	0.427
CNA03450	12.299	5.205	0.423
CNA03460	63.109	16.242	0.257
CNA03470	34.575	21.627	0.626
CNA03480	66.456	148.88	2.24
CNA03490	127.76	32.346	0.253
CNA03500	137.147	70.843	0.517
CNA03510	27.578	13.62	0.494
CNA03520	83.111	24.116	0.29
CNA03523	89.842	46.027	0.512
CNA03525	84.227	15.722	0.187
CNA03530	327.015	543.328	1.661
CNA03540	3.688	2.389	0.648
CNA03550	5.324	4.616	0.867
CNA03560	14.728	11.303	0.767
CNA03570	30.338	17.067	0.563
CNA03580	79.337	120.927	1.524
CNA03590	5.457	5.07	0.929
CNA03600	37.957	58.371	1.538
CNA03720	18.879	14.669	0.777
CNA03725	12.132	5.661	0.467
CNA03730	146.962	216.671	1.474
CNA03740	57.827	182.59	3.158
CNA03750	14.141	9.134	0.646
CNA03760	7.377	9.704	1.315
CNA03770	46.739	26.379	0.564
CNA03780	151.574	71.523	0.472
CNA03790	13.657	10.16	0.744
CNA03795	93.849	37.832	0.403
CNA03800	9.413	3.871	0.411
CNA03810	34.378	52.941	1.54
CNA03820	436.012	146.121	0.335
CNA03830	10.723	4.701	0.438
CNA03840	15.283	35.79	2.342
CNA03850	3.157	0.593	0.188
CNA03860	27.417	46.807	1.707
CNA03870	5.618	2.5	0.445
CNA03880	238.639	128.715	0.539
CNA03890	87.773	22.734	0.259
CNA03900	72.139	97.655	1.354
CNA03910	12.195	22.407	1.837
CNA03930	4.122	5.448	1.322
CNA03940	4.647	6.985	1.503
CNA03950	7.297	13.114	1.797
CNA03960	10.555	15.429	1.462
CNA03970	27.623	26.161	0.947
CNA03990	12.88	32.604	2.531
CNA04000	79.129	100.215	1.266
CNA04010	46.32	77.181	1.666
CNA04015	9.47	2.538	0.268
CNA04020	81.795	101.033	1.235
CNA04025	12.526	6.072	0.485
CNA04030	11.642	9.518	0.818
CNA04040	15.786	4.088	0.259
CNA04050	1161.355	2654.85	2.286
CNA04060	352.518	1568.484	4.449
CNA04063	1.075	0.211	0.196
CNA04065	164.562	107.941	0.656
CNA04070	32.245	46.429	1.44
CNA04080	6.869	5.63	0.82
CNA04090	92.759	23.455	0.253
CNA04100	24.763	49.58	2.002
CNA04110	31.385	22.618	0.721
CNA04120	114.329	22.052	0.193
CNA04130	25.181	8.222	0.327
CNA04140	49.095	42.068	0.857
CNA04145	27.397	8.265	0.302
CNA04150	5.48	4.94	0.902
CNA04160	16.001	1.648	0.103
CNA04170	223.752	81.258	0.363
CNA04180	29.671	6.371	0.215
CNA04190	41.441	16.181	0.39
CNA04200	31.778	13.296	0.418
CNA04210	34.923	13.713	0.393
CNA04220	35.868	25.189	0.702
CNA04230	60.377	8.45	0.14
CNA04240	396.61	624.481	1.575
CNA04250	22.502	17.664	0.785
CNA04260	11.27	1.149	0.102
CNA04265	194.089	121.07	0.624
CNA04270	13.408	10.152	0.757
CNA04280	264.582	319.451	1.207
CNA04290	88.978	113.451	1.275
CNA04300	44.978	73.732	1.639
CNA04310	437.081	575.076	1.316
CNA04320	25.068	14.037	0.56
CNA04330	1.948	0.905	0.465
CNA04340	41.845	112.862	2.697
CNA04350	25.768	33.471	1.299
CNA04360	97.976	149.587	1.527
CNA04370	685.209	1751.948	2.557
CNA04380	84.086	33.476	0.398
CNA04390	16.208	30.793	1.9
CNA04400	10.879	33.353	3.066
CNA04410	157.628	54.771	0.347
CNA04420	260.981	113.887	0.436
CNA04425	0	0.131	Inf
CNA04430	50.952	80.92	1.588
CNA04460	19.364	20.724	1.07
CNA04470	28.87	28.544	0.989
CNA04480	44.289	14.355	0.324
CNA04490	25.249	15.628	0.619
CNA04500	56.954	17.738	0.311
CNA04510	255.729	85.438	0.334
CNA04520	101.791	157.674	1.549
CNA04540	53.938	18.089	0.335
CNA04550	227.737	163.979	0.72
CNA04560	10.417	5.387	0.517
CNA04570	26.316	10.326	0.392
CNA04580	2.565	0.109	0.042
CNA04590	97.008	44.456	0.458
CNA04600	449.9	746.39	1.659
CNA04610	393.374	811.828	2.064
CNA04620	12.879	6.892	0.535
CNA04630	1.046	0.096	0.092
CNA04640	81.772	141.525	1.731
CNA04650	556.269	1750.799	3.147
CNA04660	37.26	2.634	0.071
CNA04670	5.365	2.804	0.523
CNA04680	62.24	95.672	1.537
CNA04685	2.155	0.074	0.034
CNA04690	11.374	3.022	0.266
CNA04695	15.499	16.663	1.075
CNA04700	31.777	22.616	0.712
CNA04710	69.386	68.864	0.992
CNA04715	3.857	1.141	0.296
CNA04720	3.321	8.407	2.531
